Review_ID,Rating,Year,Month,Reviewer_Location,Branch
448174289,4,2023,1,United States,California
448181300,4,2023,1,Australia,HongKong
448189047,5,2023,1,Mexico,California
448230588,3,2023,1,Australia,HongKong
448273183,4,2023,1,United States,HongKong
448320334,5,2023,1,United Kingdom,Paris
448387625,2,2023,1,United Kingdom,Paris
448515268,5,2023,1,Australia,HongKong
448607057,2,2023,1,Belgium,Paris
448706316,3,2023,1,Canada,California
448729098,4,2023,1,Canada,California
448738644,2,2023,1,United Kingdom,Paris
448810382,5,2023,1,India,HongKong
448885773,5,2023,1,United States,California
448888143,5,2023,1,United States,California
448912492,4,2023,1,Australia,Paris
448937033,4,2023,1,United Kingdom,Paris
448945584,5,2023,1,United States,California
448978650,3,2023,1,United States,Paris
448980748,5,2023,1,United Kingdom,Paris
448994549,2,2023,1,United Kingdom,Paris
448996155,5,2023,1,Denmark,Paris
449259960,3,2023,1,Saudi Arabia,HongKong
449283733,5,2023,1,United States,California
449403385,5,2023,1,United States,California
449448430,5,2023,1,Australia,HongKong
449504846,4,2023,1,Netherlands,Paris
449613211,3,2023,1,United States,California
449647645,3,2023,1,United Kingdom,Paris
449654053,4,2023,1,Australia,California
449654704,5,2023,1,United Kingdom,HongKong
449694324,5,2023,1,United Kingdom,Paris
449730642,5,2023,1,Thailand,HongKong
449742592,5,2023,1,Canada,California
449768081,5,2023,1,India,California
449769320,5,2023,1,Australia,HongKong
449798423,4,2023,1,Indonesia,HongKong
449851619,4,2023,1,United Kingdom,HongKong
449861245,5,2023,1,New Zealand,California
449880464,4,2023,1,Canada,HongKong
449883204,2,2023,1,Australia,California
449972702,5,2023,1,United Kingdom,Paris
450012384,4,2023,1,United States,California
450078110,5,2023,1,United Kingdom,Paris
450102571,4,2023,1,United Arab Emirates,HongKong
450126238,4,2023,1,Spain,Paris
450142234,4,2023,1,Belgium,Paris
450175499,4,2023,1,United States,California
450209879,4,2023,1,United States,California
450210841,5,2023,1,United States,California
450216334,4,2023,1,United States,California
450219392,4,2023,1,Germany,Paris
450222076,2,2023,1,United States,California
450290927,3,2023,1,United States,California
450296890,5,2023,1,United States,California
450303091,1,2023,1,New Zealand,California
450354246,3,2023,1,United Kingdom,Paris
450492423,3,2023,1,United Kingdom,Paris
450499705,5,2023,1,United Kingdom,Paris
450543869,5,2023,1,Australia,HongKong
450561046,4,2023,1,United Kingdom,Paris
450582527,5,2023,1,United Arab Emirates,HongKong
450615674,5,2023,1,India,HongKong
450677180,5,2023,1,India,HongKong
450695623,4,2023,1,Singapore,HongKong
450724910,4,2023,1,Ireland,Paris
450727761,5,2023,1,Malaysia,HongKong
450783971,5,2023,1,United Kingdom,Paris
450828838,5,2023,1,United States,California
450857460,4,2023,1,United States,California
450869122,5,2023,1,United States,California
450869375,5,2023,1,Canada,California
450872082,3,2023,1,United States,California
450939836,5,2023,1,United States,California
451014514,5,2023,1,United States,HongKong
451100450,4,2023,1,Singapore,HongKong
451113245,4,2023,1,India,HongKong
451116713,5,2023,1,New Zealand,HongKong
451121900,5,2023,1,United States,California
451124358,4,2023,1,Australia,California
451128144,1,2023,1,Australia,California
451157860,3,2023,1,Australia,HongKong
451305153,5,2023,1,United States,California
451350567,5,2023,1,Australia,California
451356405,5,2023,1,United States,California
451403546,4,2023,1,United States,HongKong
451409085,5,2023,1,United States,HongKong
451441051,5,2023,1,Singapore,HongKong
451511971,3,2023,1,United States,HongKong
451555425,4,2023,1,Australia,HongKong
451592077,4,2023,1,Australia,California
451596149,5,2023,1,Australia,California
451598010,3,2023,1,Philippines,California
451715188,5,2023,1,Spain,Paris
451850086,4,2023,1,Singapore,HongKong
451886142,5,2023,1,United Kingdom,Paris
451895517,3,2023,1,United Kingdom,Paris
451988494,4,2023,1,Australia,HongKong
452007262,5,2023,1,New Zealand,HongKong
452045557,4,2023,1,India,HongKong
452052197,4,2023,1,Australia,HongKong
452071275,5,2023,1,Australia,HongKong
452131878,3,2023,1,United Kingdom,Paris
452137233,5,2023,1,France,Paris
452158805,3,2023,1,Australia,Paris
452167380,5,2023,1,United States,HongKong
452169225,5,2023,1,United States,California
452203398,4,2023,1,United States,California
452216756,4,2023,1,United States,California
452338062,3,2023,1,Germany,HongKong
452362188,5,2023,1,United Kingdom,Paris
452438515,3,2023,1,United Kingdom,Paris
452476394,4,2023,1,United States,California
452480129,2,2023,1,Australia,Paris
452485258,4,2023,1,South Korea,HongKong
452495937,3,2023,1,United States,California
452503448,2,2023,1,Australia,California
452519155,5,2023,1,Australia,HongKong
452539407,3,2023,1,United Kingdom,California
452586893,5,2023,1,Philippines,HongKong
452636125,5,2023,1,Philippines,HongKong
452643805,5,2023,1,United States,California
452663187,4,2023,1,Australia,Paris
452732699,3,2023,1,United Kingdom,Paris
452736022,3,2023,1,United Kingdom,Paris
452807980,5,2023,1,United States,California
452811011,5,2023,1,United States,California
452845433,3,2023,1,United States,California
452873405,5,2023,1,United States,HongKong
452883563,5,2023,1,United States,California
452911255,5,2023,1,New Zealand,HongKong
452936123,4,2023,1,Australia,Paris
452936672,5,2023,1,Indonesia,HongKong
452950320,5,2023,1,United States,HongKong
452972089,5,2023,1,Ireland,Paris
453122499,2,2023,1,United Kingdom,Paris
453144869,4,2023,1,Australia,California
453184223,4,2023,1,United Kingdom,Paris
453216491,5,2023,1,Australia,HongKong
453238431,5,2023,1,India,HongKong
453271741,4,2023,1,Australia,HongKong
453370395,4,2023,1,United States,California
453386005,4,2023,1,Australia,California
453425287,4,2023,1,United Kingdom,Paris
453430476,5,2023,1,United Kingdom,Paris
453440826,5,2023,1,United States,Paris
453468731,5,2023,1,Philippines,HongKong
453487129,3,2023,1,United States,California
453531241,5,2023,1,Belgium,Paris
453535218,4,2023,1,Australia,HongKong
453580490,4,2023,1,Australia,HongKong
453683826,4,2023,1,Canada,California
